Date, Requests
2008-05-21-8,12897125
2008-05-21-9,13728141
2008-05-21-10,13917031
2008-05-21-11,13957590
2008-05-21-12,15172615
2008-05-21-13,17353897
2008-05-21-14,19063592
2008-05-21-15,19741374
2008-05-21-16,19688793
2008-05-21-17,19075200
2008-05-21-18,18834753
2008-05-21-19,18536678
2008-05-21-20,18258849
2008-05-21-21,17712222
2008-05-21-22,15789545
2008-05-21-23,14998903
2008-05-22-0,14243129
2008-05-22-1,13695216
2008-05-22-2,13773215
2008-05-22-3,13345394
2008-05-22-4,12365516
2008-05-22-5,11267463
2008-05-22-6,10808881
2008-05-22-7,11406042
2008-05-22-8,12448139
2008-05-22-9,13510171
2008-05-22-10,13953304
2008-05-22-11,14169740
2008-05-22-12,14930161
2008-05-22-13,16827766
2008-05-22-14,18565832
2008-05-22-15,19470222
2008-05-22-16,19789526
2008-05-22-17,19270786
2008-05-22-18,19079993
2008-05-22-19,18818243
2008-05-22-20,18680640
2008-05-22-21,18183828
2008-05-22-22,16352985
2008-05-22-23,14232217
2008-05-23-0,13518008
2008-05-23-1,13294629
2008-05-23-2,13357281
2008-05-23-3,13097740
2008-05-23-4,12152789
2008-05-23-5,11227365
2008-05-23-6,10697033
2008-05-23-7,11461723
2008-05-23-8,12426767
2008-05-23-9,13234420
2008-05-23-10,13360755
2008-05-23-11,13329733
2008-05-23-12,14038754
2008-05-23-13,15825303
2008-05-23-14,17204897
2008-05-23-15,17835979
2008-05-23-16,17835512
2008-05-23-17,16997241
2008-05-23-18,16736486
2008-05-23-19,16570182
2008-05-23-20,16400459
2008-05-23-21,15627808
2008-05-23-22,14186156
2008-05-23-23,12638987
2008-05-24-0,11836546
2008-05-24-1,11243660
2008-05-24-2,11059042
2008-05-24-3,11119534
2008-05-24-4,10598365
2008-05-24-5,10047625
2008-05-24-6,9761575
2008-05-24-7,9779546
2008-05-24-8,10293321
2008-05-24-9,11020996
2008-05-24-10,11807482
2008-05-24-11,12037655
2008-05-24-12,12486545
2008-05-24-13,13698431
2008-05-24-14,15042895
2008-05-24-15,15781952
2008-05-24-16,16116012
2008-05-24-17,15940603
2008-05-24-18,15628630
2008-05-24-19,15366676
2008-05-24-20,14871943
2008-05-24-21,14616775
2008-05-24-22,13754729
2008-05-24-23,13089495
2008-05-25-0,12318496
2008-05-25-1,11562794
2008-05-25-2,11475949
2008-05-25-3,11478836
2008-05-25-4,11074501
2008-05-25-5,10603093
2008-05-25-6,10025798
2008-05-25-7,10115557
2008-05-25-8,10761311
2008-05-25-9,12035779
2008-05-25-10,13265661
2008-05-25-11,13984505
2008-05-25-12,14579815
2008-05-25-13,15043198
2008-05-25-14,16078552
2008-05-25-15,17215692
2008-05-25-16,17876973
2008-05-25-17,18006833
2008-05-25-18,18036585
2008-05-25-19,18030813
2008-05-25-20,17832899
2008-05-25-21,16964166
2008-05-25-22,15370585
2008-05-25-23,13649485
2008-05-26-0,12829503
2008-05-26-1,12695540
2008-05-26-2,12784787
2008-05-26-3,13011130
2008-05-26-4,12690448
2008-05-26-5,11879921
2008-05-26-6,11657735
2008-05-26-7,12676978
2008-05-26-8,13613638
2008-05-26-9,14153204
2008-05-26-10,14602926
2008-05-26-11,14741037
2008-05-26-12,15448124
2008-05-26-13,17140299
2008-05-26-14,18940143
2008-05-26-15,19879634
2008-05-26-16,19968273
2008-05-26-17,19633144
2008-05-26-18,19612060
2008-05-26-19,19830808
2008-05-26-20,19795219
2008-05-26-21,18855067
2008-05-26-22,17184327
2008-05-26-23,15554443
2008-05-27-0,15057464
2008-05-27-1,14905289
2008-05-27-2,14816211
2008-05-27-3,14503137
2008-05-27-4,13548038
2008-05-27-5,12299539
2008-05-27-6,11881281
2008-05-27-7,12848562
2008-05-27-8,13713927
2008-05-27-9,14401696
2008-05-27-10,14683399
2008-05-27-11,14791609
2008-05-27-12,15808173
2008-05-27-13,17962678
2008-05-27-14,20028847
2008-05-27-15,21269536
2008-05-27-16,21081111
2008-05-27-17,20340205
2008-05-27-18,20247404
2008-05-27-19,20636446
2008-05-27-20,20865375
2008-05-27-21,19843367
2008-05-27-22,18174889
2008-05-27-23,15910327
2008-05-28-0,15271483
2008-05-28-1,15009915
2008-05-28-2,14779296
2008-05-28-3,14169178
2008-05-28-4,12941771
2008-05-28-5,11760467
2008-05-28-6,11328824
2008-05-28-7,12353407
2008-05-28-8,13408582
2008-05-28-9,14169136
2008-05-28-10,14509911
2008-05-28-11,14562541
2008-05-28-12,15744649
2008-05-28-13,18131613
2008-05-28-14,20002686
2008-05-28-15,21007498
2008-05-28-16,20575507
2008-05-28-17,19727999
2008-05-28-18,19838143
2008-05-28-19,20049500
2008-05-28-20,19946498
2008-05-28-21,19035000
2008-05-28-22,17409470
2008-05-28-23,14885954
2008-05-29-0,14440168
2008-05-29-1,14173050
2008-05-29-2,14352244
2008-05-29-3,14063340
2008-05-29-4,12989570
2008-05-29-5,11947636
2008-05-29-6,11429447
2008-05-29-7,12485289
2008-05-29-8,13369769
2008-05-29-9,14071177
2008-05-29-10,14162441
2008-05-29-11,14274661
2008-05-29-12,15260922
2008-05-29-13,17426721
2008-05-29-14,19204538
2008-05-29-15,20116680
2008-05-29-16,19884044
2008-05-29-17,19120980
2008-05-29-18,19044628
2008-05-29-19,18986872
2008-05-29-20,19054986
2008-05-29-21,18431753
2008-05-29-22,16659438
2008-05-29-23,14817601
2008-05-30-0,14037640
2008-05-30-1,13715773
2008-05-30-2,13619703
2008-05-30-3,13282152
2008-05-30-4,12532306
2008-05-30-5,11478284
2008-05-30-6,10897238
2008-05-30-7,11769775
2008-05-30-8,12554036
2008-05-30-9,13051503
2008-05-30-10,13258584
2008-05-30-11,13233531
2008-05-30-12,13992466
2008-05-30-13,15737181
2008-05-30-14,17309403
2008-05-30-15,18038718
2008-05-30-16,17716661
2008-05-30-17,17088536
2008-05-30-18,16728576
2008-05-30-19,16540851
2008-05-30-20,16454067
2008-05-30-21,15828139
2008-05-30-22,14686700
2008-05-30-23,12761448
2008-05-31-0,11943524
2008-05-31-1,11194638
2008-05-31-2,11047099
2008-05-31-3,11089099
2008-05-31-4,10593024
2008-05-31-5,9862854
2008-05-31-6,9166918
2008-05-31-7,9758162
2008-05-31-8,10237265
2008-05-31-9,10950853
2008-05-31-10,11577590
2008-05-31-11,11938300
2008-05-31-12,12178673
2008-05-31-13,13295590
2008-05-31-14,14545197
2008-05-31-15,15496029
2008-05-31-16,15955773
2008-05-31-17,15909651
2008-05-31-18,15734165
2008-05-31-19,15363993
2008-05-31-20,15328090
2008-05-31-21,15086349
2008-05-31-22,14374932
2008-05-31-23,13217845
2008-06-01-0,12104016
2008-06-01-1,11724172
2008-06-01-2,11647181
2008-06-01-3,11628937
2008-06-01-4,11374065
2008-06-01-5,10899296
2008-06-01-6,10236817
2008-06-01-7,10157513
2008-06-01-8,10634499
2008-06-01-9,11726379
2008-06-01-10,12656301
2008-06-01-11,13406456
2008-06-01-12,14066460
2008-06-01-13,14851029
2008-06-01-14,16161031
2008-06-01-15,17055204
2008-06-01-16,17733181
2008-06-01-17,17825937
2008-06-01-18,17988486
2008-06-01-19,18281391
2008-06-01-20,18492203
2008-06-01-21,18062129
2008-06-01-22,16445215
2008-06-01-23,14837906
2008-06-02-0,14361968
2008-06-02-1,14124952
2008-06-02-2,14333637
2008-06-02-3,14346530
2008-06-02-4,13416937
2008-06-02-5,12417911
2008-06-02-6,11860681
2008-06-02-7,12498534
2008-06-02-8,13449590
2008-06-02-9,14422713
2008-06-02-10,14799369
2008-06-02-11,14836048
2008-06-02-12,15794266
2008-06-02-13,17844381
2008-06-02-14,19580188
2008-06-02-15,20755120
2008-06-02-16,20821873
2008-06-02-17,20589523
2008-06-02-18,20677368
2008-06-02-19,20674106
2008-06-02-20,21224545
2008-06-02-21,20266898
2008-06-02-22,18001108
2008-06-02-23,15714351
2008-06-03-0,15046336
2008-06-03-1,14620081
2008-06-03-2,14549960
2008-06-03-3,14341463
2008-06-03-4,13203443
2008-06-03-5,12176894
2008-06-03-6,11795084
2008-06-03-7,12714983
2008-06-03-8,13645146
2008-06-03-9,14607971
2008-06-03-10,14842620
2008-06-03-11,14877412
2008-06-03-12,15815006
2008-06-03-13,17953254
2008-06-03-14,19967729
2008-06-03-15,20697188
2008-06-03-16,20799819
2008-06-03-17,20372929
2008-06-03-18,20372479
2008-06-03-19,20461243
2008-06-03-20,20807095
2008-06-03-21,20138535
2008-06-03-22,17742854
2008-06-03-23,15630317
2008-06-04-0,14794130
2008-06-04-1,14522225
2008-06-04-2,14254319
2008-06-04-3,13762778
2008-06-04-4,13028264
2008-06-04-5,12067388
2008-06-04-6,11605905
2008-06-04-7,11660343
2008-06-04-8,12667976
2008-06-04-9,13729282
2008-06-04-10,14196437
2008-06-04-11,14271748
2008-06-04-12,15573147
2008-06-04-13,17829993
2008-06-04-14,19817363
2008-06-04-15,20671830
2008-06-04-16,20522475
2008-06-04-17,19733060
2008-06-04-18,20113535
2008-06-04-19,20715580
2008-06-04-20,21165314
2008-06-04-21,20213972
2008-06-04-22,18143895
2008-06-04-23,15789725
2008-06-05-0,15115434
2008-06-05-1,14638185
2008-06-05-2,14400781
2008-06-05-3,13827460
2008-06-05-4,13057476
2008-06-05-5,12306391
2008-06-05-6,11710179
2008-06-05-7,12356985
2008-06-05-8,13311800
2008-06-05-9,14203061
2008-06-05-10,14570733
2008-06-05-11,14472476
2008-06-05-12,15370511
2008-06-05-13,17758467
2008-06-05-14,19590588
2008-06-05-15,20346067
2008-06-05-16,20395696
2008-06-05-17,19818908
2008-06-05-18,19591823
2008-06-05-19,19791532
2008-06-05-20,19808264
2008-06-05-21,19151072
2008-06-05-22,17198707
2008-06-05-23,15228983
2008-06-06-0,14460895
2008-06-06-1,14003598
2008-06-06-2,13809613
2008-06-06-3,13580842
2008-06-06-4,12580559
2008-06-06-5,11784537
2008-06-06-6,11547369
2008-06-06-7,12358223
2008-06-06-8,13266627
2008-06-06-9,14024479
2008-06-06-10,14194458
2008-06-06-11,13889182
2008-06-06-12,14705126
2008-06-06-13,14655574
2008-06-06-14,17930750
2008-06-06-15,18576709
2008-06-06-16,18333926
2008-06-06-17,17548522
2008-06-06-18,17275917
2008-06-06-19,17180191
2008-06-06-20,17117697
2008-06-06-21,16503470
2008-06-06-22,14801753
2008-06-06-23,12953067
2008-06-07-0,12028669
2008-06-07-1,11373970
2008-06-07-2,11078635
2008-06-07-3,11166333
2008-06-07-4,10827729
2008-06-07-5,10262526
2008-06-07-6,9833758
2008-06-07-7,9696333
2008-06-07-8,10256021
2008-06-07-9,11044404
2008-06-07-10,11725941
2008-06-07-11,11965463
2008-06-07-12,12289510
2008-06-07-13,13790698
2008-06-07-14,14744336
2008-06-07-15,15585089
2008-06-07-16,15892686
2008-06-07-17,15530110
2008-06-07-18,14930192
2008-06-07-19,15139907
2008-06-07-20,15019288
2008-06-07-21,14655248
2008-06-07-22,14214964
2008-06-07-23,12922158
2008-06-08-0,12030907
2008-06-08-1,11591956
2008-06-08-2,11449421
2008-06-08-3,11425196
2008-06-08-4,11131583
2008-06-08-5,10646872
2008-06-08-6,10214976
2008-06-08-7,10109121
2008-06-08-8,10692760
2008-06-08-9,11732267
2008-06-08-10,12813944
2008-06-08-11,13434521
2008-06-08-12,14040466
2008-06-08-13,15161695
2008-06-08-14,15980039
2008-06-08-15,16560712
2008-06-08-16,17272894
2008-06-08-17,16978583
2008-06-08-18,16713635
2008-06-08-19,17290153
2008-06-08-20,17355551
2008-06-08-21,16784424
2008-06-08-22,16255187
2008-06-08-23,14414217
2008-06-09-0,13813345
2008-06-09-1,13719690
2008-06-09-2,13883771
2008-06-09-3,13926221
2008-06-09-4,13165832
2008-06-09-5,12191013
2008-06-09-6,11881807
2008-06-09-7,12618327
2008-06-09-8,13678836
2008-06-09-9,14758578
2008-06-09-10,15119548
2008-06-09-11,15144023
2008-06-09-12,16016193
2008-06-09-13,18045401
2008-06-09-14,20027986
2008-06-09-15,20672221
2008-06-09-16,20185010
2008-06-09-17,19223175
2008-06-09-18,19144597
2008-06-09-19,19601172
2008-06-09-20,19498505
2008-06-09-21,18977587
2008-06-09-22,17656362
2008-06-09-23,15413978
2008-06-10-0,14669653
2008-06-10-1,14299274
2008-06-10-2,14151583
2008-06-10-3,14049276
2008-06-10-4,13064668
2008-06-10-5,12104305
2008-06-10-6,11698609
2008-06-10-7,12511932
2008-06-10-8,13519484
2008-06-10-9,14677836
2008-06-10-10,14999075
2008-06-10-11,15154550
2008-06-10-12,16005630
2008-06-10-13,18026028
2008-06-10-14,19873507
2008-06-10-15,20483145
2008-06-10-16,20192712
2008-06-10-17,18795336
2008-06-10-18,19029127
2008-06-10-19,19599396
2008-06-10-20,19880778
2008-06-10-21,19279577
2008-06-10-22,17401220
2008-06-10-23,14971790
2008-06-11-0,14212594
2008-06-11-1,14110073
2008-06-11-2,13938057
2008-06-11-3,13879836
2008-06-11-4,12803658
2008-06-11-5,12034041
2008-06-11-6,11688274
2008-06-11-7,12645082
2008-06-11-8,13647308
2008-06-11-9,14796044
2008-06-11-10,15232052
2008-06-11-11,15493902
2008-06-11-12,16440057
2008-06-11-13,18222550
2008-06-11-14,20106443
2008-06-11-15,20485469
2008-06-11-16,19946286
2008-06-11-17,18854558
2008-06-11-18,19132505
2008-06-11-19,19801584
2008-06-11-20,19507996
2008-06-11-21,18414422
2008-06-11-22,17058274
2008-06-11-23,15056270
2008-06-12-0,14210751
2008-06-12-1,13837392
2008-06-12-2,13989833
2008-06-12-3,14011568
2008-06-12-4,13033766
2008-06-12-5,12036076
2008-06-12-6,11667635
2008-06-12-7,12340373
2008-06-12-8,13422031
2008-06-12-9,14700854
2008-06-12-10,15074167
2008-06-12-11,15173951
2008-06-12-12,16056120
2008-06-12-13,17904848
2008-06-12-14,19495056
2008-06-12-15,19864712
2008-06-12-16,19532205
2008-06-12-17,18285181
2008-06-12-18,18044913
2008-06-12-19,18971348
2008-06-12-20,19118961
2008-06-12-21,18340631
2008-06-12-22,16620302
2008-06-12-23,14427362
2008-06-13-0,13729719
2008-06-13-1,13212926
2008-06-13-2,13000382
2008-06-13-3,13028008
2008-06-13-4,12155137
2008-06-13-5,11391440
2008-06-13-6,10996146
2008-06-13-7,11814050
2008-06-13-8,12767347
2008-06-13-9,13673237
2008-06-13-10,14074232
2008-06-13-11,14011664
2008-06-13-12,14670639
2008-06-13-13,16211632
2008-06-13-14,17748908
2008-06-13-15,18078864
2008-06-13-16,17817827
2008-06-13-17,16676235
2008-06-13-18,16466082
2008-06-13-19,16669840
2008-06-13-20,16794448
2008-06-13-21,16112573
2008-06-13-22,14963391
2008-06-13-23,13146251
2008-06-14-0,11950603
2008-06-14-1,11202317
2008-06-14-2,11110643
2008-06-14-3,11278068
2008-06-14-4,10902985
2008-06-14-5,10435005
2008-06-14-6,10019438
2008-06-14-7,9940613
2008-06-14-8,10331073
2008-06-14-9,11170585
2008-06-14-10,11919158
2008-06-14-11,12219627
2008-06-14-12,12705296
2008-06-14-13,13700513
2008-06-14-14,14819001
2008-06-14-15,15796840
2008-06-14-16,16142322
2008-06-14-17,15516547
2008-06-14-18,15404392
2008-06-14-19,15597200
2008-06-14-20,15420902
2008-06-14-21,14892965
2008-06-14-22,14274468
2008-06-14-23,13012995
2008-06-15-0,12191180
2008-06-15-1,11505063
2008-06-15-2,11394257
2008-06-15-3,11578560
2008-06-15-4,11375599
2008-06-15-5,10914892
2008-06-15-6,10529898
2008-06-15-7,10304308
2008-06-15-8,10804100
2008-06-15-9,11926027
2008-06-15-10,13048191
2008-06-15-11,13777920
2008-06-15-12,14341195
2008-06-15-13,15607552
2008-06-15-14,16558824
2008-06-15-15,17259161
2008-06-15-16,17771273
2008-06-15-17,18052669
2008-06-15-18,17959387
2008-06-15-19,17623691
2008-06-15-20,17412605
2008-06-15-21,16363904
2008-06-15-22,15652209
2008-06-15-23,14030663
2008-06-16-0,13319449
2008-06-16-1,13225193
2008-06-16-2,13519465
2008-06-16-3,13885567
2008-06-16-4,13081923
2008-06-16-5,12223775
2008-06-16-6,11881690
2008-06-16-7,12593413
2008-06-16-8,13636965
2008-06-16-9,14740717
2008-06-16-10,15217685
2008-06-16-11,15187716
2008-06-16-12,16477961
2008-06-16-13,18341354
2008-06-16-14,20196167
2008-06-16-15,20701165
2008-06-16-16,20588176
2008-06-16-17,19973308
2008-06-16-18,19726578
2008-06-16-19,19706161
2008-06-16-20,19325514
2008-06-16-21,18964061
2008-06-16-22,17489477
2008-06-16-23,14986614
2008-06-17-0,13850514
2008-06-17-1,13686991
2008-06-17-2,14154657
2008-06-17-3,13553410
2008-06-17-4,12690169
2008-06-17-5,11393894
2008-06-17-6,11046979
2008-06-17-7,11343633
2008-06-17-8,12912789
2008-06-17-9,14117482
2008-06-17-10,14862521
2008-06-17-11,15146613
2008-06-17-12,16615867
2008-06-17-13,18317103
2008-06-17-14,20209870
2008-06-17-15,20769047
2008-06-17-16,20473144
2008-06-17-17,20152171
2008-06-17-18,19235866
2008-06-17-19,19229960
2008-06-17-20,19297628
2008-06-17-21,18850743
2008-06-17-22,17600777
2008-06-17-23,15598078
2008-06-18-0,13894513
2008-06-18-1,13764772
2008-06-18-2,13411709
2008-06-18-3,13454766
2008-06-18-4,12759709
2008-06-18-5,11388313
2008-06-18-6,11373208
2008-06-18-7,12868473
2008-06-18-8,14397910
2008-06-18-9,15711248
2008-06-18-10,15444379
2008-06-18-11,15560418
2008-06-18-12,16344154
2008-06-18-13,17991611
2008-06-18-14,19971515
2008-06-18-15,21679817
2008-06-18-16,20686993
2008-06-18-17,19910204
2008-06-18-18,19788713
2008-06-18-19,19659989
2008-06-18-20,19356340
2008-06-18-21,18743670
2008-06-18-22,17138301
2008-06-18-23,14868719
2008-06-19-0,13971327
2008-06-19-1,13415735
2008-06-19-2,13440838
2008-06-19-3,13222585
2008-06-19-4,12545917
2008-06-19-5,11510959
2008-06-19-6,11442489
2008-06-19-7,12471743
2008-06-19-8,14171509
2008-06-19-9,15779884
2008-06-19-10,15296321
2008-06-19-11,15384186
2008-06-19-12,15826257
2008-06-19-13,17431248
2008-06-19-14,18350396
2008-06-19-15,19631254
2008-06-19-16,20899505
2008-06-19-17,20122373
2008-06-19-18,18920638
2008-06-19-19,17708085
2008-06-19-20,17435692
2008-06-19-21,16689870
2008-06-19-22,16249680
2008-06-19-23,14160248
2008-06-20-0,13442334
2008-06-20-1,12979988
2008-06-20-2,12887612
2008-06-20-3,12955540
2008-06-20-4,12192284
2008-06-20-5,10354213
2008-06-20-6,10493584
2008-06-20-7,11755774
2008-06-20-8,12494620
2008-06-20-9,13328015
2008-06-20-10,13561849
2008-06-20-11,13579687
2008-06-20-12,14202148
2008-06-20-13,15951673
2008-06-20-14,17423103
2008-06-20-15,17882973
2008-06-20-16,17793588
2008-06-20-17,17182084
2008-06-20-18,16954835
2008-06-20-19,16708680
2008-06-20-20,16759376
2008-06-20-21,16615026
2008-06-20-22,14482898
2008-06-20-23,13795573
2008-06-21-0,12420677
2008-06-21-1,11738478
2008-06-21-2,11481185
2008-06-21-3,11599495
2008-06-21-4,11110951
2008-06-21-5,10615082
2008-06-21-6,10147274
2008-06-21-7,10147429
2008-06-21-8,10509842
2008-06-21-9,11253679
2008-06-21-10,12072148
2008-06-21-11,12458919
2008-06-21-12,12543697
2008-06-21-13,13468380
2008-06-21-14,14703368
2008-06-21-15,15551940
2008-06-21-16,15941328
2008-06-21-17,15822934
2008-06-21-18,15354211
2008-06-21-19,14823988
2008-06-21-20,14614226
2008-06-21-21,13955596
2008-06-21-22,13884070
2008-06-21-23,13058975
2008-06-22-0,12253242
2008-06-22-1,11724782
2008-06-22-2,11649774
2008-06-22-3,11745807
2008-06-22-4,11453611
2008-06-22-5,11079390
2008-06-22-6,10663010
2008-06-22-7,10523002
2008-06-22-8,11055099
2008-06-22-9,12050181
2008-06-22-10,12999746
2008-06-22-11,13533745
2008-06-22-12,13635458
2008-06-22-13,14428354
2008-06-22-14,15514987
2008-06-22-15,16597323
2008-06-22-16,17049780
2008-06-22-17,17338344
2008-06-22-18,17270922
2008-06-22-19,17017963
2008-06-22-20,16546529
2008-06-22-21,16199400
2008-06-22-22,15226436
2008-06-22-23,14450190
2008-06-23-0,13748277
2008-06-23-1,13568199
2008-06-23-2,13871009
2008-06-23-3,14023550
2008-06-23-4,13512356
2008-06-23-5,12541296
2008-06-23-6,12084129
2008-06-23-7,12755541
2008-06-23-8,13721129
2008-06-23-9,14903513
2008-06-23-10,15323360
2008-06-23-11,15363528
2008-06-23-12,16144431
2008-06-23-13,17881452
2008-06-23-14,19708423
2008-06-23-15,20348000
2008-06-23-16,20529443
2008-06-23-17,19610555
2008-06-23-18,19464935
2008-06-23-19,19842511
2008-06-23-20,20168813
2008-06-23-21,19565245
2008-06-23-22,17492340
2008-06-23-23,15240803
2008-06-24-0,14462261
2008-06-24-1,13901255
2008-06-24-2,13792206
2008-06-24-3,13813840
2008-06-24-4,13365819
2008-06-24-5,12189890
2008-06-24-6,11936908
2008-06-24-7,12528890
2008-06-24-8,13462807
2008-06-24-9,14596670
2008-06-24-10,15128273
2008-06-24-11,15242008
2008-06-24-12,15918722
2008-06-24-13,17732676
2008-06-24-14,19302411
2008-06-24-15,19966208
2008-06-24-16,19887234
2008-06-24-17,19119502
2008-06-24-18,18876929
2008-06-24-19,19140982
2008-06-24-20,19416039
2008-06-24-21,19046035
2008-06-24-22,17027101
2008-06-24-23,14839109
2008-06-25-0,13767799
2008-06-25-1,13303679
2008-06-25-2,13389504
2008-06-25-3,13572132
2008-06-25-4,13040505
2008-06-25-5,12104042
2008-06-25-6,11743581
2008-06-25-7,12494486
2008-06-25-8,13416910
2008-06-25-9,14497088
2008-06-25-10,14993774
2008-06-25-11,15012015
2008-06-25-12,15971087
2008-06-25-13,17724446
2008-06-25-14,19349420
2008-06-25-15,19710936
2008-06-25-16,19316080
2008-06-25-17,18693214
2008-06-25-18,18546031
2008-06-25-19,18341064
2008-06-25-20,18050578
2008-06-25-21,17473911
2008-06-25-22,16792446
2008-06-25-23,14799652
2008-06-26-0,13845239
2008-06-26-1,13473740
2008-06-26-2,13577406
2008-06-26-3,14952010
2008-06-26-4,13552191
2008-06-26-5,12009834
2008-06-26-6,11681076
2008-06-26-7,12412099
2008-06-26-8,13315331
2008-06-26-9,14478319
2008-06-26-10,14813807
2008-06-26-11,14952102
2008-06-26-12,15510572
2008-06-26-13,17242923
2008-06-26-14,18986621
2008-06-26-15,19498851
2008-06-26-16,19324348
2008-06-26-17,18550331
2008-06-26-18,18571784
2008-06-26-19,18580015
2008-06-26-20,18349512
2008-06-26-21,18029958
2008-06-26-22,16945116
2008-06-26-23,14844023
2008-06-27-0,13635808
2008-06-27-1,13064383
2008-06-27-2,12882799
2008-06-27-3,13055384
2008-06-27-4,12441958
2008-06-27-5,11632622
2008-06-27-6,11326546
2008-06-27-7,12018049
2008-06-27-8,12768550
2008-06-27-9,13742712
2008-06-27-10,14004234
2008-06-27-11,14052089
2008-06-27-12,14711177
2008-06-27-13,16226014
2008-06-27-14,17635962
2008-06-27-15,18207136
2008-06-27-16,18096009
2008-06-27-17,17316835
2008-06-27-18,17088432
2008-06-27-19,17013784
2008-06-27-20,17049887
2008-06-27-21,16338234
2008-06-27-22,15233792
2008-06-27-23,13482201
2008-06-28-0,12408440
2008-06-28-1,11632698
2008-06-28-2,11610460
2008-06-28-3,11683383
2008-06-28-4,11153030
2008-06-28-5,10867966
2008-06-28-6,10512539
2008-06-28-7,10336141
2008-06-28-8,10759810
2008-06-28-9,11608299
2008-06-28-10,12146223
2008-06-28-11,12328765
2008-06-28-12,12460931
2008-06-28-13,13336835
2008-06-28-14,14530368
2008-06-28-15,15407408
2008-06-28-16,15830644
2008-06-28-17,15782032
2008-06-28-18,15431681
2008-06-28-19,14958815
2008-06-28-20,15266833
2008-06-28-21,15002642
2008-06-28-22,14514918
2008-06-28-23,13298877
2008-06-29-0,12487264
2008-06-29-1,11821673
2008-06-29-2,11689156
2008-06-29-3,11832660
2008-06-29-4,11511495
2008-06-29-5,11223248
2008-06-29-6,10555637
2008-06-29-7,10512394
2008-06-29-8,10954406
2008-06-29-9,11782036
2008-06-29-10,12630753
2008-06-29-11,12749898
2008-06-29-12,13694356
2008-06-29-13,14683058
2008-06-29-14,15463487
2008-06-29-15,16169873
2008-06-29-16,16482275
2008-06-29-17,16271752
2008-06-29-18,16158985
2008-06-29-19,15733737
2008-06-29-20,15177460
2008-06-29-21,14899891
2008-06-29-22,15760887
2008-06-29-23,14384324
2008-06-30-0,13584804
2008-06-30-1,13455858
2008-06-30-2,13768607
2008-06-30-3,13833665
2008-06-30-4,13110473
2008-06-30-5,12175546
2008-06-30-6,11863311
2008-06-30-7,12327835
2008-06-30-8,13232097
2008-06-30-9,14158768
2008-06-30-10,14749970
2008-06-30-11,14804390
2008-06-30-12,15675229
2008-06-30-13,17244780
2008-06-30-14,18704020
2008-06-30-15,19729498
2008-06-30-16,19834602
2008-06-30-17,18840889
2008-06-30-18,18659494
2008-06-30-19,19097276
2008-06-30-20,19293226
2008-06-30-21,18802740
2008-06-30-22,17057472
2008-06-30-23,14763670
2008-07-01-0,13674589
2008-07-01-1,13168228
2008-07-01-2,13053791
2008-07-01-3,13159505
2008-07-01-4,12919222
